Plot Title: Hub B,,
#,"Date Time, GMT-08:00","Current, A (LGR S/N: 10459718, SEN S/N: 10282958, LBL: Test-Workstation-power-A)"
268,3/4/22 13:54:30,1.02387
269,3/4/22 13:54:31,0
270,3/4/22 13:54:32,0
271,3/4/22 13:54:33,0
272,3/4/22 13:54:34,0
273,3/4/22 13:54:35,0
274,3/4/22 13:54:36,0.91782
275,3/4/22 13:54:37,0.96381
276,3/4/22 13:54:38,0
277,3/4/22 13:54:39,0
278,3/4/22 13:54:40,0.96005
279,3/4/22 13:54:41,0
280,3/4/22 13:54:42,0
281,3/4/22 13:54:43,0.96099
282,3/4/22 13:54:44,0
283,3/4/22 13:54:45,0
284,3/4/22 13:54:46,0
285,3/4/22 13:54:47,0.96099
286,3/4/22 13:54:48,0
287,3/4/22 13:54:49,0
288,3/4/22 13:54:50,0.9563
289,3/4/22 13:54:51,0
290,3/4/22 13:54:52,0
291,3/4/22 13:54:53,1.02293
292,3/4/22 13:54:54,0
293,3/4/22 13:54:55,0
294,3/4/22 13:54:56,0
295,3/4/22 13:54:57,0
296,3/4/22 13:54:58,0
297,3/4/22 13:54:59,0.96381
298,3/4/22 13:55:00,0
299,3/4/22 13:55:01,0
300,3/4/22 13:55:02,0
301,3/4/22 13:55:03,1.02387
302,3/4/22 13:55:04,0
303,3/4/22 13:55:05,0
304,3/4/22 13:55:06,0
305,3/4/22 13:55:07,0
306,3/4/22 13:55:08,0
307,3/4/22 13:55:09,0
308,3/4/22 13:55:10,0.92908
309,3/4/22 13:55:11,0
310,3/4/22 13:55:12,0.31439
311,3/4/22 13:55:13,0
312,3/4/22 13:55:14,0.92627
313,3/4/22 13:55:15,0
314,3/4/22 13:55:16,0.30876
315,3/4/22 13:55:17,0
316,3/4/22 13:55:18,0
317,3/4/22 13:55:19,0.93002
318,3/4/22 13:55:20,0
319,3/4/22 13:55:21,0
320,3/4/22 13:55:22,0
321,3/4/22 13:55:23,0.92814
322,3/4/22 13:55:24,0.92627
323,3/4/22 13:55:25,0
324,3/4/22 13:55:26,0
325,3/4/22 13:55:27,1.02011
326,3/4/22 13:55:28,0
327,3/4/22 13:55:29,0
328,3/4/22 13:55:30,0.31063
329,3/4/22 13:55:31,0
330,3/4/22 13:55:32,0
331,3/4/22 13:55:33,1.02105
332,3/4/22 13:55:34,0
333,3/4/22 13:55:35,0
334,3/4/22 13:55:36,0
335,3/4/22 13:55:37,1.0173
336,3/4/22 13:55:38,0
337,3/4/22 13:55:39,0
338,3/4/22 13:55:40,0
339,3/4/22 13:55:41,0.93659
340,3/4/22 13:55:42,0
341,3/4/22 13:55:43,0
342,3/4/22 13:55:44,0.94222
343,3/4/22 13:55:45,0
344,3/4/22 13:55:46,0
345,3/4/22 13:55:47,1.02105
346,3/4/22 13:55:48,0
347,3/4/22 13:55:49,0
348,3/4/22 13:55:50,0
349,3/4/22 13:55:51,0.94973
350,3/4/22 13:55:52,0
351,3/4/22 13:55:53,0
352,3/4/22 13:55:54,0.94785
353,3/4/22 13:55:55,0
354,3/4/22 13:55:56,0
355,3/4/22 13:55:57,0
356,3/4/22 13:55:58,0
357,3/4/22 13:55:59,0.96005
358,3/4/22 13:56:00,0
359,3/4/22 13:56:01,0.96474
360,3/4/22 13:56:02,0
361,3/4/22 13:56:03,0
362,3/4/22 13:56:04,0.96474
363,3/4/22 13:56:05,0
364,3/4/22 13:56:06,0
365,3/4/22 13:56:07,0.9685
366,3/4/22 13:56:08,0
367,3/4/22 13:56:09,0
368,3/4/22 13:56:10,0
369,3/4/22 13:56:11,0.97788
370,3/4/22 13:56:12,0
371,3/4/22 13:56:13,0
372,3/4/22 13:56:14,0
373,3/4/22 13:56:15,0
374,3/4/22 13:56:16,0
375,3/4/22 13:56:17,0.97601
376,3/4/22 13:56:18,0
377,3/4/22 13:56:19,0
378,3/4/22 13:56:20,0
379,3/4/22 13:56:21,0.9807
380,3/4/22 13:56:22,0
381,3/4/22 13:56:23,0
382,3/4/22 13:56:24,0
383,3/4/22 13:56:25,0
384,3/4/22 13:56:26,0.98164
385,3/4/22 13:56:27,0
386,3/4/22 13:56:28,0
387,3/4/22 13:56:29,0
388,3/4/22 13:56:30,0.98445
389,3/4/22 13:56:31,0
390,3/4/22 13:56:32,0.98821
391,3/4/22 13:56:33,0
392,3/4/22 13:56:34,0.98539
393,3/4/22 13:56:35,0
394,3/4/22 13:56:36,0
395,3/4/22 13:56:37,0
396,3/4/22 13:56:38,0.98821
397,3/4/22 13:56:39,0
398,3/4/22 13:56:40,0
399,3/4/22 13:56:41,1.02293
400,3/4/22 13:56:42,0
401,3/4/22 13:56:43,0
402,3/4/22 13:56:44,0.98351
403,3/4/22 13:56:45,0
404,3/4/22 13:56:46,0
405,3/4/22 13:56:47,0
406,3/4/22 13:56:48,0.98445
407,3/4/22 13:56:49,0
408,3/4/22 13:56:50,0
409,3/4/22 13:56:51,0
410,3/4/22 13:56:52,0
411,3/4/22 13:56:53,0.98821
412,3/4/22 13:56:54,0
413,3/4/22 13:56:55,0
414,3/4/22 13:56:56,0
415,3/4/22 13:56:57,1.02011
416,3/4/22 13:56:58,0
417,3/4/22 13:56:59,0
418,3/4/22 13:57:00,0.33691
419,3/4/22 13:57:01,0
420,3/4/22 13:57:02,0
421,3/4/22 13:57:03,0.32659
422,3/4/22 13:57:04,0.91688
423,3/4/22 13:57:05,0
424,3/4/22 13:57:06,0
425,3/4/22 13:57:07,0.91688
426,3/4/22 13:57:08,0
427,3/4/22 13:57:09,0.34442
428,3/4/22 13:57:10,0
429,3/4/22 13:57:11,0
430,3/4/22 13:57:12,0.90844
431,3/4/22 13:57:13,0
432,3/4/22 13:57:14,1.02387
433,3/4/22 13:57:15,0
434,3/4/22 13:57:16,0
435,3/4/22 13:57:17,0.35943
436,3/4/22 13:57:18,0
437,3/4/22 13:57:19,0
438,3/4/22 13:57:20,0.8221
439,3/4/22 13:57:21,0
