PCS,Baseline,Time,Power,Cycle
HeatedBlanket,FALSE,1/1/00 0:21:20,9.8,
HeatedBlanket,FALSE,1/1/00 0:21:25,10.6,
HeatedBlanket,FALSE,1/1/00 0:21:30,59.9,
HeatedBlanket,FALSE,1/1/00 0:21:35,47.8,
HeatedBlanket,FALSE,1/1/00 0:21:40,72.8,
HeatedBlanket,FALSE,1/1/00 0:21:45,0,
HeatedBlanket,FALSE,1/1/00 0:21:50,14.7,
HeatedBlanket,FALSE,1/1/00 0:21:55,15.3,
HeatedBlanket,FALSE,1/1/00 0:22:00,75.8,
HeatedBlanket,FALSE,1/1/00 0:22:05,43.1,
HeatedBlanket,FALSE,1/1/00 0:22:10,42,
HeatedBlanket,FALSE,1/1/00 0:22:15,41.5,
HeatedBlanket,FALSE,1/1/00 0:22:20,19,
HeatedBlanket,FALSE,1/1/00 0:22:25,2,
HeatedBlanket,FALSE,1/1/00 0:22:30,59.5,
HeatedBlanket,FALSE,1/1/00 0:22:35,38.4,
HeatedBlanket,FALSE,1/1/00 0:22:40,37.8,
HeatedBlanket,FALSE,1/1/00 0:22:45,36.8,
HeatedBlanket,FALSE,1/1/00 0:22:50,23.9,
HeatedBlanket,FALSE,1/1/00 0:22:55,2,
HeatedBlanket,FALSE,1/1/00 0:23:00,85.4,
HeatedBlanket,FALSE,1/1/00 0:23:05,59.8,
HeatedBlanket,FALSE,1/1/00 0:23:10,0,
HeatedBlanket,FALSE,1/1/00 0:23:15,0,
HeatedBlanket,FALSE,1/1/00 0:23:20,29.4,
HeatedBlanket,FALSE,1/1/00 0:23:25,0,
HeatedBlanket,FALSE,1/1/00 0:23:30,90.7,
HeatedBlanket,FALSE,1/1/00 0:23:35,59.9,
HeatedBlanket,FALSE,1/1/00 0:23:40,92.4,
HeatedBlanket,FALSE,1/1/00 0:23:45,26.4,
HeatedBlanket,FALSE,1/1/00 0:23:50,85.5,
HeatedBlanket,FALSE,1/1/00 0:23:55,0,
HeatedBlanket,FALSE,1/1/00 0:24:00,93.8,
HeatedBlanket,FALSE,1/1/00 0:24:05,59.4,
HeatedBlanket,FALSE,1/1/00 0:24:10,82.3,
HeatedBlanket,FALSE,1/1/00 0:24:15,0,
HeatedBlanket,FALSE,1/1/00 0:24:20,37.4,
HeatedBlanket,FALSE,1/1/00 0:24:25,38.1,
HeatedBlanket,FALSE,1/1/00 0:24:30,38.7,
HeatedBlanket,FALSE,1/1/00 0:24:35,20,
HeatedBlanket,FALSE,1/1/00 0:24:40,99.3,
HeatedBlanket,FALSE,1/1/00 0:24:45,21,
HeatedBlanket,FALSE,1/1/00 0:24:50,41.8,
HeatedBlanket,FALSE,1/1/00 0:24:55,0,
HeatedBlanket,FALSE,1/1/00 0:25:00,0,
HeatedBlanket,FALSE,1/1/00 0:25:05,0,
HeatedBlanket,FALSE,1/1/00 0:25:10,0,
HeatedBlanket,FALSE,1/1/00 0:25:15,1084,
HeatedBlanket,FALSE,1/1/00 0:25:20,13.1,
HeatedBlanket,FALSE,1/1/00 0:25:25,72,
HeatedBlanket,FALSE,1/1/00 0:25:30,0,
HeatedBlanket,FALSE,1/1/00 0:25:35,48.4,
HeatedBlanket,FALSE,1/1/00 0:25:40,48.8,
HeatedBlanket,FALSE,1/1/00 0:25:45,108.8,
HeatedBlanket,FALSE,1/1/00 0:25:50,10,
HeatedBlanket,FALSE,1/1/00 0:25:55,0,
HeatedBlanket,FALSE,1/1/00 0:26:00,705,
HeatedBlanket,FALSE,1/1/00 0:26:05,59.4,
HeatedBlanket,FALSE,1/1/00 0:26:10,59.5,
HeatedBlanket,FALSE,1/1/00 0:26:15,0,
HeatedBlanket,FALSE,1/1/00 0:26:20,612,
HeatedBlanket,FALSE,1/1/00 0:26:25,54.6,
HeatedBlanket,FALSE,1/1/00 0:26:30,63.7,
HeatedBlanket,FALSE,1/1/00 0:26:35,3.8,
HeatedBlanket,FALSE,1/1/00 0:26:40,62.6,
HeatedBlanket,FALSE,1/1/00 0:26:45,0,
HeatedBlanket,FALSE,1/1/00 0:26:50,59.7,
HeatedBlanket,FALSE,1/1/00 0:26:55,1,
