Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/18  02:00:00,-3.8000000000000003,22.220417593147285,-1.6483637911334768,26440507.346972734,2287908.203727021,2287908.203727021,2287908.203727021,23962355.24217567,0.0 
 02/18  03:00:00,-3.8000000000000003,22.22054076911842,-1.134913044121248,24963676.14119755,2218387.455766968,2218387.455766968,2218387.455766968,22555044.784360543,0.0 
 02/18  04:00:00,-3.8000000000000003,22.22048915342967,-1.1836930586230374,25145818.040980835,2167160.80380385,2167160.80380385,2167160.80380385,22788413.336106945,0.0 
 02/18  05:00:00,-3.8000000000000003,22.220551749567193,-1.0438733279472392,26769563.665152624,2326991.86639299,2326991.86639299,2326991.86639299,22587677.457614888,1660366.1698181904 
 02/18  06:00:00,-3.8000000000000003,22.220471048510408,-1.2740004480415605,25944193.8216029,2888368.680950925,2888368.680950925,2888368.680950925,22854335.030158587,0.0 
 02/18  07:00:00,-4.091666666666667,22.22042165786993,-1.8597494463915927,28874204.975002334,3455726.295687276,3455726.295687276,3455726.295687276,23607896.48843844,1795587.2449788211 
 02/18  08:00:00,-4.3,22.220366630398928,-2.1204221126528737,28836449.744090974,3804342.957438114,3804342.957438114,3804342.957438114,22961840.94856097,2056877.4935402821 
 02/18  09:00:00,-4.3,22.220211535648843,-2.3089286565435083,30980534.20715373,3331560.1762823085,3331560.1762823085,3331560.1762823085,24179023.199545603,3464059.9597231112 
 02/18  10:00:00,-4.708333333333333,22.220202382884924,-2.4870951848017246,28757599.11993411,3145052.4172653225,3145052.4172653225,3145052.4172653225,23779310.017333053,1829220.1819702587 
 02/18  11:00:00,-4.591666666666668,22.220299624366984,-1.7880742936786393,25966382.08653642,3201316.809840188,3201316.809840188,3201316.809840188,20957315.747882977,1803733.0254477744 
 02/18  12:00:00,-4.3,22.22035282318717,-1.0395313612070274,24933456.331719197,3245056.7517732778,3245056.7517732778,3245056.7517732778,19906655.843537964,1777727.2330424748 
 02/18  13:00:00,-4.008333333333334,22.22040611834612,-0.8522641969309434,24477472.026599083,3197289.398662933,3197289.398662933,3197289.398662933,19518207.169466943,1757958.9551037303 
 02/18  14:00:00,-2.8083333333333336,22.220516162993118,-0.11247429416228648,22133255.490810946,3143544.016284607,3143544.016284607,3143544.016284607,18985694.97116086,0.0 
 02/18  15:00:00,-1.5166666666666666,22.22065730377425,0.7548714900456569,23623888.93944947,3152610.4832543777,3152610.4832543777,3152610.4832543777,18733043.71528464,1734218.2375449708 
 02/18  16:00:00,-1.3916666666666666,22.220670189626002,0.7319920456098079,24400086.148854714,3436226.8211706067,3436226.8211706067,3436226.8211706067,19228201.64641958,1728695.7420976935 
 02/18  17:00:00,-1.3083333333333336,22.220672081979345,0.5698125356063788,25883934.581286214,4368891.063756271,4368891.063756271,4368891.063756271,19756427.72264717,1743620.8489849682 
 02/18  18:00:00,-1.3916666666666666,22.22068804264306,0.43297560613851577,24932816.483480822,5514884.4344747625,5514884.4344747625,5514884.4344747625,19397046.23150555,0.0 
 02/18  19:00:00,-1.8916666666666666,22.22058235661208,-0.19190405544649955,28169036.318254948,5936377.747743254,5936377.747743254,5936377.747743254,19920675.611911096,2095765.6691004378 
 02/18  20:00:00,-2.4499999999999997,22.220568599388315,-0.8548607680317759,29002117.835637152,5860851.394397255,5860851.394397255,5860851.394397255,20233503.719374873,2688502.626784954 
 02/18  21:00:00,-2.991666666666667,22.220519770430144,-1.2853890548751146,27359183.593686357,5788324.826793473,5788324.826793473,5788324.826793473,20098175.33637383,1253423.3354389844 
 02/18  22:00:00,-3.5500000000000003,22.220431310388506,-1.6940377345538342,27664254.807045273,5275040.848512863,5275040.848512863,5275040.848512863,21054742.10250019,1122806.6036796109 
 02/18  23:00:00,-4.091666666666667,22.220362003733253,-2.1427005106439494,28689076.31493423,4175767.1653783405,4175767.1653783405,4175767.1653783405,22580323.194405764,1731763.6115477672 
 02/18  24:00:00,-4.708333333333333,22.220349376329626,-2.3978835084263195,28300179.60810318,3228431.3064444675,3228431.3064444675,3228431.3064444675,23237712.772789765,1640578.4251065203 
 02/19  01:00:00,-5.641666666666667,22.220270774202017,-2.944167708294906,26662780.138920642,2498479.0097388276,2498479.0097388276,2498479.0097388276,23918154.64984382,55902.57826795942 
 02/19  02:00:00,-6.391666666666666,22.220228903738946,-3.2771302770372217,26815109.349611416,2287908.203727021,2287908.203727021,2287908.203727021,24336957.24481436,0.0 
 02/19  03:00:00,-7.533333333333331,22.220095825137818,-4.08675859508499,27667945.603007287,2218387.455766968,2218387.455766968,2218387.455766968,25259314.246170282,0.0 
 02/19  04:00:00,-8.200000000000001,22.21998994569186,-4.945558374662848,28556362.332415488,2167160.80380385,2167160.80380385,2167160.80380385,26198957.627541598,0.0 
 02/19  05:00:00,-8.549999999999999,22.21997819319989,-4.8548450154433205,28656859.00014466,2326991.86639299,2326991.86639299,2326991.86639299,26135338.962425116,0.0 
 02/19  06:00:00,-8.450000000000001,22.219956005688648,-5.2827871753375595,31200597.60645248,2888368.680950925,2888368.680950925,2888368.680950925,26406303.98644175,1704434.82856641 
 02/19  07:00:00,-8.549999999999999,22.219931229644573,-5.425213523407827,31718107.124048285,3455726.295687276,3455726.295687276,3455726.295687276,26452255.978256315,1795129.9042068948 
 02/19  08:00:00,-8.450000000000001,22.220517409554176,-4.678237797295984,27735810.97910327,3804342.957438114,3804342.957438114,3804342.957438114,22083342.144328274,1834737.5327852739 
 02/19  09:00:00,-6.683333333333334,22.22171926281423,-0.2798823803749311,21341701.053582877,3331560.1762823085,3331560.1762823085,3331560.1762823085,16002602.953729287,2001647.0519685738 
 02/19  10:00:00,-4.2,22.221680063382895,5.350035167769974,19033101.048571393,3145052.4172653225,3145052.4172653225,3145052.4172653225,12382733.613071397,3501298.5148691945 
 02/19  11:00:00,-1.9750000000000003,22.222019045764338,10.30691483968841,14178566.890147207,3201316.809840188,3201316.809840188,3201316.809840188,9170056.191844871,1803177.3850966655 
 02/19  12:00:00,-1.0999999999999999,22.222223775598355,17.02176819433818,12267213.758213788,3245056.7517732778,3245056.7517732778,3245056.7517732778,7240868.071943617,1777272.4311314092 
 02/19  13:00:00,-0.05000000000000008,22.22210409817357,20.67625779287944,9403406.659855388,3197289.398662933,3197289.398662933,3197289.398662933,6202100.757826972,0.0 
 02/19  14:00:00,1.3416666666666668,22.222115249395415,18.771183273694092,9825281.019100474,3143544.016284607,3143544.016284607,3143544.016284607,4932774.19037577,1744946.3090746137 
 02/19  15:00:00,2.441666666666667,22.222483556169106,13.914105381124557,9082743.771568097,3152610.4832543777,3152610.4832543777,3152610.4832543777,4192353.0792963444,1733763.7056518928 
 02/19  16:00:00,3.483333333333333,22.223379847103516,11.94579238685148,9284252.109568642,3436226.8211706067,3436226.8211706067,3436226.8211706067,4112118.719389215,1728944.629841984 
 02/19  17:00:00,3.899999999999999,22.22233548277175,9.562021854554969,9711187.925105926,4368891.063756271,4368891.063756271,4368891.063756271,5327301.915451853,0.0 
 02/19  18:00:00,3.3166666666666664,22.222419533439403,6.495254265014953,14230442.902433127,5514884.4344747625,5514884.4344747625,5514884.4344747625,6927339.60123176,1767333.0492260961 
 02/19  19:00:00,2.5500000000000003,22.222549181208972,5.876132708259572,15153175.5640679,5936377.747743254,5936377.747743254,5936377.747743254,7207038.587516729,1793541.9393077574 
 02/19  20:00:00,0.9583333333333331,22.222300667605584,4.375086022806392,16998664.397036593,5860851.394397255,5860851.394397255,5860851.394397255,9118725.14901802,1799827.7585412466 
 02/19  21:00:00,-0.35000000000000003,22.222550681958992,2.6724275327129328,19215950.77475366,5788324.826793473,5788324.826793473,5788324.826793473,11422859.762790296,1785506.0900898252 
 02/19  22:00:00,-0.6,22.22251855960396,1.7981152964316747,20787986.543875862,5275040.848512863,5275040.848512863,5275040.848512863,13536115.353260959,1765165.0897494312 
 02/19  23:00:00,-1.1833333333333333,22.22247873923126,1.314749605854193,21591205.924064673,4175767.1653783405,4175767.1653783405,4175767.1653783405,15482435.621342298,1731780.793741678 
 02/19  24:00:00,-1.5999999999999999,22.22243811600543,1.1386648389554033,20130662.462997463,3228431.3064444675,3228431.3064444675,3228431.3064444675,16708774.052790575,0.0 
 02/20  01:00:00,-2.533333333333333,22.22268430802633,0.7938637191967134,22354876.343733013,2519341.8750856025,2519341.8750856025,2519341.8750856025,17977449.19111423,1667841.3764631408 
 02/20  02:00:00,-2.9083333333333337,22.223154379501224,0.0327908014095867,21902486.670295127,2300485.626558334,2300485.626558334,2300485.626558334,19411757.142666757,0.0 
 02/20  03:00:00,-2.35,22.223086260314336,0.16178715019273682,22317926.787957422,2226600.0926204654,2226600.0926204654,2226600.0926204654,19901082.79426692,0.0 
 02/20  04:00:00,-2.4499999999999997,22.22299043566447,0.3005211198916891,22600797.168063056,2171740.4070940726,2171740.4070940726,2171740.4070940726,20238812.859898947,0.0 
 02/20  05:00:00,-3.6333333333333333,22.222947567632897,0.026659291216091206,23013434.572656218,2335718.210080423,2335718.210080423,2335718.210080423,20483188.191249244,0.0 
 02/20  06:00:00,-4.708333333333333,22.222924086585778,-0.7775808013625131,25650864.82520915,2902111.397117286,2902111.397117286,2902111.397117286,20841328.172663245,1705935.1449352223 
 02/20  07:00:00,-5.0,22.22292095155028,-1.3546976585192974,26493790.67556427,3490045.529346395,3490045.529346395,3490045.529346395,21189642.194229115,1799108.006090963 
 02/20  08:00:00,-3.658333333333333,22.22257555828379,1.5683327285188084,20801545.217359707,3872409.4070758065,3872409.4070758065,3872409.4070758065,15073153.018011663,1842594.4477206292 
 02/20  09:00:00,-0.7166666666666668,22.222410815024674,5.803135203819594,15693950.018527035,3436548.288166884,3436548.288166884,3436548.288166884,10395658.218286278,1855852.6404711676 
 02/20  10:00:00,2.275,22.222442254358118,6.719643136722474,16045314.599991348,3287629.4627914913,3287629.4627914913,3287629.4627914913,9065550.604446338,3688118.0293880343 
 02/20  11:00:00,6.258333333333334,22.22232615185023,9.950561141361465,10860053.568109032,3359522.254572048,3359522.254572048,3359522.254572048,5679248.8094538795,1817266.0007176222 
 02/20  12:00:00,9.291666666666666,22.222903244599262,12.992554134917858,8575608.634109864,3405817.7973429887,3405817.7973429887,3405817.7973429887,3376217.494329807,1789556.8390715853 
 02/20  13:00:00,10.700000000000001,22.218640241191924,14.513687369173786,7233621.927680794,3343416.5845005065,3343416.5845005065,3343416.5845005065,2117856.48384119,1768332.3559736165 
 02/20  14:00:00,12.191666666666665,22.204581785834108,15.000799766779322,3620447.399733278,3277253.218523652,3277253.218523652,3277253.218523652,339177.677844144,0.0 
 02/20  15:00:00,13.191666666666668,22.339783870438414,15.011483883385447,5172549.37064838,3272159.2094632606,3272159.2094632606,3272159.2094632606,154285.71428571438,1742087.943533923 
 02/20  16:00:00,13.108333333333334,22.219951916336424,14.194387829647008,5634366.676503738,3549357.552769049,3549357.552769049,3549357.552769049,342025.2420854467,1736021.9424824065 
 02/20  17:00:00,12.549999999999999,22.222598918180335,13.808941285271922,8522851.898700565,4479188.816479392,4479188.816479392,4479188.816479392,2277579.8947709464,1751088.2415524242 
 02/20  18:00:00,11.658333333333333,22.222421772672266,12.737660879864437,10659928.66020053,5624286.233621349,5624286.233621349,5624286.233621349,3239375.5742551535,1775381.0348235203 
 02/20  19:00:00,9.858333333333333,22.222390794022385,11.256233478185342,11716021.461288026,6045788.3062472865,6045788.3062472865,6045788.3062472865,3651445.8454298913,1802570.0201106877 
 02/20  20:00:00,8.316666666666666,22.222481840811184,9.9931806166511,12318829.029449454,5971945.160957614,5971945.160957614,5971945.160957614,4318336.819428382,1809286.9539833877 
 02/20  21:00:00,7.258333333333333,22.222484922196553,8.990963794832934,13400862.414812367,5899533.255808762,5899533.255808762,5899533.255808762,5487748.593001784,1794320.4709217506 
 02/20  22:00:00,6.8,22.222479803700526,8.41808831837588,13937204.419891052,5386254.039457358,5386254.039457358,5386254.039457358,6566187.545512866,1773097.5825682164 
 02/20  23:00:00,6.8,22.222451101559148,8.317248866234538,12532919.165453788,4262786.538241955,4262786.538241955,4262786.538241955,8068910.283609474,0.0 
 02/20  24:00:00,7.091666666666666,22.222426903400105,8.361373232102617,14821505.26786005,3276627.552965166,3276627.552965166,3276627.552965166,9651149.960738502,1700270.6503939563 
 02/21  01:00:00,7.3,22.222404641961834,8.467149256813554,13620553.852357268,2519341.8750856025,2519341.8750856025,2519341.8750856025,10910968.076201625,0.0 
 02/21  02:00:00,7.3,22.223151747899294,8.33356794593665,14906444.252816372,2300485.626558334,2300485.626558334,2300485.626558334,12415714.725187998,0.0 
 02/21  03:00:00,7.3,22.223326961624092,8.47363441595125,14703566.461410461,2226600.0926204654,2226600.0926204654,2226600.0926204654,12286722.467719955,0.0 
 02/21  04:00:00,7.6499999999999995,22.223265770787307,8.79174410352082,16438167.562595041,2171740.4070940726,2171740.4070940726,2171740.4070940726,12426652.643484138,1649530.6109467922 
 02/21  05:00:00,8.191666666666666,22.223214105673673,9.204826036561679,15186986.274140878,2335718.210080423,2335718.210080423,2335718.210080423,12656739.892733902,0.0 
