Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/04  01:00:00,4916519.027512082,2498479.0097388276,2498479.0097388276,2498479.0097388276,2227796.1167032165,0.0 
 02/04  02:00:00,7127560.816362053,2287908.203727021,2287908.203727021,2287908.203727021,2996153.9031885946,1653254.8083764 
 02/04  03:00:00,5709743.866599852,2218387.455766968,2218387.455766968,2218387.455766968,3301112.5097628455,0.0 
 02/04  04:00:00,6051189.717368508,2167160.80380385,2167160.80380385,2167160.80380385,3693785.01249462,0.0 
 02/04  05:00:00,6538083.2902591005,2326991.86639299,2326991.86639299,2326991.86639299,4016563.2525395574,0.0 
 02/04  06:00:00,8330694.418895593,2888368.680950925,2888368.680950925,2888368.680950925,3535679.440100424,1705156.1873508552 
 02/04  07:00:00,8315052.664720925,3455726.295687276,3455726.295687276,3455726.295687276,3047455.380111859,1796876.043023989 
 02/04  08:00:00,6906269.303048844,3804342.957438114,3804342.957438114,3804342.957438114,1251729.4177049822,1836808.58335414 
 02/04  09:00:00,5337222.263285027,3331560.1762823085,3331560.1762823085,3331560.1762823085,154285.71428571438,1845485.5011142967 
 02/04  10:00:00,5134584.721887606,3145052.4172653225,3145052.4172653225,3145052.4172653225,154285.71428571438,1831230.086971087 
 02/04  11:00:00,5164264.034255898,3201316.809840188,3201316.809840188,3201316.809840188,154285.71428571438,1804645.006764513 
 02/04  12:00:00,5181876.925668122,3245056.7517732778,3245056.7517732778,3245056.7517732778,154285.71428571438,1778517.956243647 
 02/04  13:00:00,5113714.282200031,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1758122.665885902 
 02/04  14:00:00,5078730.829152188,3143544.016284607,3143544.016284607,3143544.016284607,185749.36860165742,1745420.9409004422 
 02/04  15:00:00,5237001.316200312,3152610.4832543777,3152610.4832543777,3152610.4832543777,346010.5165949212,1734363.812985531 
 02/04  16:00:00,3670887.943951322,3436226.8211706067,3436226.8211706067,3436226.8211706067,227699.18361387923,0.0 
 02/04  17:00:00,6282149.084985791,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,1743977.3610460057 
 02/04  18:00:00,7458301.344045199,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1768245.3777842137 
 02/04  19:00:00,8102226.329122109,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1795345.577592983 
 02/04  20:00:00,8950379.401273994,5860851.394397255,5860851.394397255,5860851.394397255,1068715.2725467845,1801552.639249886 
 02/04  21:00:00,10683998.476973014,5788324.826793473,5788324.826793473,5788324.826793473,2889549.8226394625,1786863.7324600099 
 02/04  22:00:00,11593811.517428176,5275040.848512863,5275040.848512863,5275040.848512863,4340125.766572379,1766979.649990324 
 02/04  23:00:00,12131617.587676326,4175767.1653783405,4175767.1653783405,4175767.1653783405,6021780.006769419,1732848.0719262082 
 02/04  24:00:00,11349709.566762045,3228431.3064444675,3228431.3064444675,3228431.3064444675,7927821.156555152,0.0 
 02/05  01:00:00,12460657.35639762,2498479.0097388276,2498479.0097388276,2498479.0097388276,9771934.445588754,0.0 
 02/05  02:00:00,13032890.189696588,2287908.203727021,2287908.203727021,2287908.203727021,10554738.084899528,0.0 
 02/05  03:00:00,14886904.10364993,2218387.455766968,2218387.455766968,2218387.455766968,10830345.142140754,1647927.6046721695 
 02/05  04:00:00,13673553.383770576,2167160.80380385,2167160.80380385,2167160.80380385,11316148.678896692,0.0 
 02/05  05:00:00,14165484.933615297,2326991.86639299,2326991.86639299,2326991.86639299,11643964.895895755,0.0 
 02/05  06:00:00,16569136.98332356,2888368.680950925,2888368.680950925,2888368.680950925,11774140.264630437,1705137.927248807 
 02/05  07:00:00,16834796.606362425,3455726.295687276,3455726.295687276,3455726.295687276,11567124.449937357,1796950.9148399886 
 02/05  08:00:00,14498343.40784114,3804342.957438114,3804342.957438114,3804342.957438114,8843847.673506036,1836764.4323453826 
 02/05  09:00:00,10886729.29295354,3331560.1762823085,3331560.1762823085,3331560.1762823085,5703409.024258262,1845869.2208102648 
 02/05  10:00:00,8833775.855545416,3145052.4172653225,3145052.4172653225,3145052.4172653225,3853475.0743714254,1831231.8605431856 
 02/05  11:00:00,6743177.922543047,3201316.809840188,3201316.809840188,3201316.809840188,1732753.5565571676,1805091.0527802093 
 02/05  12:00:00,5523549.563944926,3245056.7517732778,3245056.7517732778,3245056.7517732778,495736.24766417296,1778740.0611419922 
 02/05  13:00:00,5114397.261938661,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1758805.6456245328 
 02/05  14:00:00,5047229.654644479,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,1745383.4207086763 
 02/05  15:00:00,5045494.149650584,3152610.4832543777,3152610.4832543777,3152610.4832543777,154285.71428571438,1734581.4487450093 
 02/05  16:00:00,3597474.474623157,3436226.8211706067,3436226.8211706067,3436226.8211706067,154285.71428571438,0.0 
 02/05  17:00:00,6281942.687928073,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,1743770.9639882867 
 02/05  18:00:00,7458269.611770671,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1768213.6455096859 
 02/05  19:00:00,8102086.582941288,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1795205.831412163 
 02/05  20:00:00,8874776.775376573,5860851.394397255,5860851.394397255,5860851.394397255,993173.1075940963,1801492.1783051535 
 02/05  21:00:00,10690213.380813554,5788324.826793473,5788324.826793473,5788324.826793473,2895545.680334352,1787082.7786056604 
 02/05  22:00:00,11801422.488424825,5275040.848512863,5275040.848512863,5275040.848512863,4548060.034187617,1766656.3533717329 
 02/05  23:00:00,11831707.134741385,4175767.1653783405,4175767.1653783405,4175767.1653783405,6635544.543455891,819173.0823047964 
 02/05  24:00:00,12318706.072450446,3228431.3064444675,3228431.3064444675,3228431.3064444675,8002065.491484576,894752.1707589773 
 02/06  01:00:00,11793899.8735802,2519341.8750856025,2519341.8750856025,2519341.8750856025,9084314.09742456,0.0 
 02/06  02:00:00,12721506.598537145,2300485.626558334,2300485.626558334,2300485.626558334,10230777.070908774,0.0 
 02/06  03:00:00,15103669.820941547,2226600.0926204654,2226600.0926204654,2226600.0926204654,11038336.30062732,1648489.526623727 
 02/06  04:00:00,13925221.854297508,2171740.4070940726,2171740.4070940726,2171740.4070940726,11563237.546133399,0.0 
 02/06  05:00:00,14064793.489490345,2335718.210080423,2335718.210080423,2335718.210080423,11534547.108083371,0.0 
 02/06  06:00:00,15217126.994057652,2902111.397117286,2902111.397117286,2902111.397117286,11003914.29447909,1109611.1919678869 
 02/06  07:00:00,16332922.069341693,3490045.529346395,3490045.529346395,3490045.529346395,10396334.762504887,2431546.831592611 
 02/06  08:00:00,15040724.07626409,3872409.4070758065,3872409.4070758065,3872409.4070758065,9309454.934785511,1845471.389851165 
 02/06  09:00:00,13810233.170182794,3436548.288166884,3436548.288166884,3436548.288166884,8509269.35780876,1858524.6526044437 
 02/06  10:00:00,13602491.655167066,3287629.4627914913,3287629.4627914913,3287629.4627914913,8464180.802553125,1846664.886456967 
 02/06  11:00:00,14493642.32247787,3359522.254572048,3359522.254572048,3359522.254572048,7490848.279742615,3639255.284797727 
 02/06  12:00:00,9573780.630423108,3405817.7973429887,3405817.7973429887,3405817.7973429887,4373049.719964418,1790896.6097502192 
 02/06  13:00:00,5390779.863461016,3343416.5845005065,3343416.5845005065,3343416.5845005065,2043346.7755950268,0.0 
 02/06  14:00:00,6737495.806529653,3277253.218523652,3277253.218523652,3277253.218523652,1700857.6961009959,1755368.388539522 
 02/06  15:00:00,5894081.837058609,3272159.2094632606,3272159.2094632606,3272159.2094632606,874781.9564213413,1743124.1678085264 
 02/06  16:00:00,6406118.72135791,3549357.552769049,3549357.552769049,3549357.552769049,1112574.9051760994,1737224.324245926 
 02/06  17:00:00,9306551.579635758,4479188.816479392,4479188.816479392,4479188.816479392,3259962.904460895,1552404.9127976687 
 02/06  18:00:00,9969574.219008802,5624286.233621349,5624286.233621349,5624286.233621349,4062404.423180231,261997.74470671438 
 02/06  19:00:00,13424896.977263968,6045788.3062472865,6045788.3062472865,6045788.3062472865,4084879.3178211707,3078012.063695351 
 02/06  20:00:00,12776797.911716163,5971945.160957614,5971945.160957614,5971945.160957614,4301187.611735466,2284405.043943015 
 02/06  21:00:00,12951104.814774256,5899533.255808762,5899533.255808762,5899533.255808762,5036394.967662239,1795916.4962231843 
 02/06  22:00:00,13985437.079554893,5386254.039457358,5386254.039457358,5386254.039457358,6612454.52543544,1775063.2623094844 
