Block,Random.Number,Chamber.SetPoint,Clothing,Bedding,Posture,Emergency.Blanket,Bed.Type,PCS,Repetition,Reference,Baseline,Repeated.2,Repeated.3,Skip,Notes,Start.Time,End.Time,Comments,IR.Image
1,0.607534926,16,Nude,None,Log,FALSE,Slat,None,1,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,12/31/2021 15:30,12/31/2021 16:57,Right thigh power shut off. Start run from heating control reset at 3:30pm,IR_5764-IR_5770
1,0.854630296,16,Light,Light,Log,FALSE,Mattress,None,1,FALSE,TRUE,TRUE,TRUE,FALSE,Heating baseline 1,1/3/2022 12:00,1/3/2022 15:11,,IR_5774-IR_5779
1,0.859034764,16,Light,Light,Log,FALSE,Mattress,HeatedBlanket,1,FALSE,FALSE,TRUE,TRUE,FALSE,"Heated blanket, baseline 1",1/3/2022 16:50,1/3/2022 19:30,,IR_5780-IR_5784
1,0.055743349,16,Light,Light,Log,FALSE,Mattress,None,3,FALSE,TRUE,TRUE,TRUE,FALSE,Heating baseline 2,1/4/2022 9:08,1/4/2022 12:59,,IR_5787-IR5790
1,0.052132951,16,Nude,None,Log,FALSE,Slat,None,2,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,1/4/2022 13:31,1/4/2022 16:00,,IR_5794-IR_5800
1,0.145653621,16,Heavy,Heavy,Fetal,FALSE,Mattress,None,1,FALSE,FALSE,FALSE,FALSE,TRUE,All passive strategies 1 (no emergency blanket),1/7/2022 13:33,1/7/2022 16:00,,IR_5808-IR5810
1,0.652136948,16,Heavy,Heavy,Fetal,TRUE,Mattress,None,1,FALSE,FALSE,TRUE,FALSE,FALSE,All passive strategies 1,1/7/2022 16:07,1/7/2022 20:48,,
1,0.512152834,16,Nude,None,Fetal,FALSE,Slat,None,2,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,1/7/2022 21:08,1/8/2022 0:00,,
2,0.150637722,28,Light,Light,Log,FALSE,Mattress,None,2,FALSE,TRUE,TRUE,TRUE,FALSE,Cooling baseline 2,1/8/2022 11:36,1/8/2022 21:00,,IR_5815-IR_5820
2,0.118122148,28,Light,Light,Log,FALSE,Mattress,None,1,FALSE,TRUE,TRUE,TRUE,FALSE,Cooling baseline 1,1/9/2022 8:00,1/9/2022 11:38,,IR_5821-IR_5824
