Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/01  09:00:00,3.025,22.222426402638064,6.683316845709825,11808903.752718527,3331560.1762823085,3331560.1762823085,3331560.1762823085,5848479.927911379,2622972.7769221338 
 02/01  10:00:00,4.95,22.22236200281819,9.795367134650196,10350806.39717001,3145052.4172653225,3145052.4172653225,3145052.4172653225,4310148.680785325,2891588.795753878 
 02/01  11:00:00,7.2749999999999995,22.19290219588284,12.273289133295926,6796863.112092475,3201316.809840188,3201316.809840188,3201316.809840188,1786121.125044459,1805408.6738423463 
 02/01  12:00:00,8.983333333333333,22.206165588395262,14.750271072658762,5334213.876889103,3245056.7517732778,3245056.7517732778,3245056.7517732778,306019.6883571331,1779120.9333932102 
 02/01  13:00:00,11.091666666666669,22.37003739812238,16.72930516528039,4759048.916192045,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1403457.2998779165 
 02/01  14:00:00,13.233333333333334,22.796134541590984,17.23430974782273,3654460.9739255947,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,352614.73998979107 
 02/01  15:00:00,14.191666666666668,23.333700057515554,18.315770501739106,5045345.526720453,3152610.4832543777,3152610.4832543777,3152610.4832543777,154285.71428571438,1734432.8258148786 
 02/01  16:00:00,14.75,23.56129030917104,17.901484426324817,5326762.771607827,3436226.8211706067,3436226.8211706067,3436226.8211706067,154285.71428571438,1729288.2969846705 
 02/01  17:00:00,14.358333333333334,23.2172600100303,15.677257758084869,4538171.723939787,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,0.0 
 02/01  18:00:00,12.033333333333333,22.78952394883605,13.025650864080154,7458612.659301533,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1768556.6930405477 
 02/01  19:00:00,10.291666666666666,22.370111089177367,10.496775955880901,8102333.0675416235,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1795452.316012499 
 02/01  20:00:00,9.65,22.192528495810475,10.455776083529596,9058864.244791754,5860851.394397255,5860851.394397255,5860851.394397255,1176960.1101624158,1801792.6451520133 
 02/01  21:00:00,8.816666666666666,22.201669120200105,9.690518361802496,10178913.329980845,5788324.826793473,5788324.826793473,5788324.826793473,2384347.7910852716,1786980.6170220305 
 02/01  22:00:00,8.691666666666666,22.22245750235732,10.426522097335202,10676281.39362491,5275040.848512863,5275040.848512863,5275040.848512863,3422857.5350424973,1766717.7577169354 
 02/01  23:00:00,7.033333333333335,22.222417581040833,10.593542551097869,11485368.021758247,4175767.1653783405,4175767.1653783405,4175767.1653783405,5375515.196930081,1732863.3158474679 
 02/01  24:00:00,6.633333333333333,22.222368132643997,9.914836838698632,10443659.417895515,3228431.3064444675,3228431.3064444675,3228431.3064444675,7021771.007688622,0.0 
 02/02  01:00:00,6.658333333333334,22.222687172527614,10.459158157303007,12401541.142428014,2498479.0097388276,2498479.0097388276,2498479.0097388276,8046447.017142997,1666371.2144761516 
 02/02  02:00:00,6.2,22.22302890160185,10.357699850834315,11461127.498991517,2287908.203727021,2287908.203727021,2287908.203727021,8982975.394194458,0.0 
 02/02  03:00:00,5.1499999999999995,22.22315844043285,8.99493543386109,12694320.664177038,2218387.455766968,2218387.455766968,2218387.455766968,10285689.30734003,0.0 
 02/02  04:00:00,5.158333333333334,22.222731707449967,9.24018079484975,12786963.527887803,2167160.80380385,2167160.80380385,2167160.80380385,10429558.823013915,0.0 
 02/02  05:00:00,5.991666666666667,22.222602756241482,8.939480310997025,13045864.386345917,2326991.86639299,2326991.86639299,2326991.86639299,10524344.348626373,0.0 
 02/02  06:00:00,5.5,22.222388383412653,8.358667268280238,15744235.442084018,2888368.680950925,2888368.680950925,2888368.680950925,10949507.633079048,1704869.0175606548 
 02/02  07:00:00,5.408333333333334,22.22240526765745,7.8144542078488115,15933981.428010743,3455726.295687276,3455726.295687276,3455726.295687276,10666022.630692108,1797237.5557335583 
 02/02  08:00:00,4.941666666666666,22.222474354896892,7.70623628035262,12598388.456606567,3804342.957438114,3804342.957438114,3804342.957438114,6943978.546235295,1836678.608381548 
 02/02  09:00:00,6.733333333333333,22.222394061023664,11.31992870297155,8956066.418857647,3331560.1762823085,3331560.1762823085,3331560.1762823085,3772926.8573234384,1845688.5136491924 
