Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/26  05:00:00,2675805.7520052576,2326991.86639299,2326991.86639299,2326991.86639299,154285.71428571438,0.0 
 02/26  06:00:00,3244144.5057300287,2888368.680950925,2888368.680950925,2888368.680950925,154285.71428571438,0.0 
 02/26  07:00:00,5421333.431279433,3455726.295687276,3455726.295687276,3455726.295687276,154285.71428571438,1796326.4754086407 
 02/26  08:00:00,7291404.853278058,3804342.957438114,3804342.957438114,3804342.957438114,154285.71428571438,3319387.837002621 
 02/26  09:00:00,5687272.859878107,3331560.1762823085,3331560.1762823085,3331560.1762823085,154285.71428571438,2195536.097707377 
 02/26  10:00:00,5132706.717750738,3145052.4172653225,3145052.4172653225,3145052.4172653225,154285.71428571438,1829352.0828342196 
 02/26  11:00:00,5162692.745853977,3201316.809840188,3201316.809840188,3201316.809840188,154285.71428571438,1803073.7183625924 
 02/26  12:00:00,5180338.502626271,3245056.7517732778,3245056.7517732778,3245056.7517732778,154285.71428571438,1776979.5332017955 
 02/26  13:00:00,5112708.191321813,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1757116.575007684 
 02/26  14:00:00,5045946.391021432,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,1744100.1570856287 
 02/26  15:00:00,3310912.7009055745,3152610.4832543777,3152610.4832543777,3152610.4832543777,154285.71428571438,0.0 
 02/26  16:00:00,5325572.217714117,3436226.8211706067,3436226.8211706067,3436226.8211706067,154285.71428571438,1728097.7430909597 
 02/26  17:00:00,6280256.243539781,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,1742084.5195999942 
 02/26  18:00:00,6586828.574167625,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,896772.60790664 
 02/26  19:00:00,8227522.818879106,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1920642.0673499808 
 02/26  20:00:00,8741733.774214618,5860851.394397255,5860851.394397255,5860851.394397255,154285.71428571438,2507336.57045158 
 02/26  21:00:00,7234828.337655008,5788324.826793473,5788324.826793473,5788324.826793473,154285.71428571438,1072957.7014957503 
 02/26  22:00:00,6389449.66307271,5275040.848512863,5275040.848512863,5275040.848512863,154285.71428571438,748457.8479215218 
 02/26  23:00:00,6262255.526255254,4175767.1653783405,4175767.1653783405,4175767.1653783405,154285.71428571438,1730980.3029888405 
 02/26  24:00:00,5273855.272988339,3228431.3064444675,3228431.3064444675,3228431.3064444675,154285.71428571438,1697681.1484957333 
 02/27  01:00:00,2863871.4904413554,2519341.8750856025,2519341.8750856025,2519341.8750856025,154285.71428571438,0.0 
 02/27  02:00:00,2645015.2419140865,2300485.626558334,2300485.626558334,2300485.626558334,154285.71428571438,0.0 
 02/27  03:00:00,2571129.7079762174,2226600.0926204654,2226600.0926204654,2226600.0926204654,154285.71428571438,0.0 
 02/27  04:00:00,2516270.022449825,2171740.4070940726,2171740.4070940726,2171740.4070940726,154285.71428571438,0.0 
 02/27  05:00:00,4346814.30149265,2335718.210080423,2335718.210080423,2335718.210080423,154285.71428571438,1662282.205799961 
 02/27  06:00:00,3257887.22189639,2902111.397117286,2902111.397117286,2902111.397117286,154285.71428571438,0.0 
 02/27  07:00:00,5458245.806760864,3490045.529346395,3490045.529346395,3490045.529346395,154285.71428571438,1798919.6172309548 
 02/27  08:00:00,5881972.850793726,3872409.4070758065,3872409.4070758065,3872409.4070758065,154285.71428571438,1841889.3848805958 
 02/27  09:00:00,7307088.892889339,3436548.288166884,3436548.288166884,3436548.288166884,154285.71428571438,3710364.0188340317 
 02/27  10:00:00,5288817.452887408,3287629.4627914913,3287629.4627914913,3287629.4627914913,154285.71428571438,1842885.7724447201 
 02/27  11:00:00,5334385.515589605,3359522.254572048,3359522.254572048,3359522.254572048,154285.71428571438,1816561.0433663619 
