Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/05  10:00:00,17756147.397314154,3145052.4172653225,3145052.4172653225,3145052.4172653225,12775601.515017442,1831476.9616659079 
 02/05  11:00:00,17139003.819734428,3201316.809840188,3201316.809840188,3201316.809840188,12128538.074335672,1805132.432193083 
 02/05  12:00:00,15232797.6631859,3245056.7517732778,3245056.7517732778,3245056.7517732778,10204889.498682309,1778834.9093648281 
 02/05  13:00:00,14069470.507877428,3197289.398662933,3197289.398662933,3197289.398662933,9109365.147676349,1758799.458172662 
 02/05  14:00:00,12846941.129105564,3143544.016284607,3143544.016284607,3143544.016284607,7953372.789561868,1746007.819893607 
 02/05  15:00:00,11692149.208649369,3152610.4832543777,3152610.4832543777,3152610.4832543777,6800443.358467942,1735078.8635615676 
 02/05  16:00:00,9925899.55193249,3436226.8211706067,3436226.8211706067,3436226.8211706067,6482710.791595047,0.0 
 02/05  17:00:00,12262253.183242623,4368891.063756271,4368891.063756271,4368891.063756271,6133725.87973804,1744641.2938505125 
 02/05  18:00:00,13169375.26111381,5514884.4344747625,5514884.4344747625,5514884.4344747625,5864885.468448451,1768719.5406900884 
 02/05  19:00:00,13904007.612403201,5936377.747743254,5936377.747743254,5936377.747743254,5956180.690276127,1795231.8848836615 
 02/05  20:00:00,14148383.939063996,5860851.394397255,5860851.394397255,5860851.394397255,6266695.666890366,1801576.7826963044 
 02/05  21:00:00,14412396.638845704,5788324.826793473,5788324.826793473,5788324.826793473,6617711.877911324,1787099.8390608358 
 02/05  22:00:00,14584379.473799463,5275040.848512863,5275040.848512863,5275040.848512863,7330984.9400828015,1766688.4328511886 
 02/05  23:00:00,14604139.115220286,4175767.1653783405,4175767.1653783405,4175767.1653783405,8494595.52361976,1732554.0826198286 
 02/05  24:00:00,12734758.378755225,3228431.3064444675,3228431.3064444675,3228431.3064444675,9312869.968548335,0.0 
 02/06  01:00:00,12969839.286733655,2519341.8750856025,2519341.8750856025,2519341.8750856025,10260253.510578018,0.0 
 02/06  02:00:00,14826449.281888416,2300485.626558334,2300485.626558334,2300485.626558334,10681416.043248514,1654303.7110115294 
 02/06  03:00:00,13363026.340767106,2226600.0926204654,2226600.0926204654,2226600.0926204654,10946182.347076604,0.0 
 02/06  04:00:00,14141459.719967613,2171740.4070940726,2171740.4070940726,2171740.4070940726,11779475.411803503,0.0 
 02/06  05:00:00,14647839.762091186,2335718.210080423,2335718.210080423,2335718.210080423,12117593.380684212,0.0 
 02/06  06:00:00,16672000.104274364,2902111.397117286,2902111.397117286,2902111.397117286,11861855.772013525,1706542.824650162 
 02/06  07:00:00,16992501.57430973,3490045.529346395,3490045.529346395,3490045.529346395,11686796.23146319,1800664.86760234 
 02/06  08:00:00,16924885.119741723,3872409.4070758065,3872409.4070758065,3872409.4070758065,11193835.06645906,1845252.3016552522 
 02/06  09:00:00,16012243.084865587,3436548.288166884,3436548.288166884,3436548.288166884,10711067.17579346,1858736.7493025372 
 02/06  10:00:00,16234727.514770757,3287629.4627914913,3287629.4627914913,3287629.4627914913,9876199.026159199,3066882.522454583 
 02/06  11:00:00,14704219.161583165,3359522.254572048,3359522.254572048,3359522.254572048,8904603.967382617,2436076.4362630183 
 02/06  12:00:00,12976810.76663405,3405817.7973429887,3405817.7973429887,3405817.7973429887,7775961.537581231,1791014.928344347 
 02/06  13:00:00,11902234.50198599,3343416.5845005065,3343416.5845005065,3343416.5845005065,6784985.055193983,1769816.3589260196 
 02/06  14:00:00,9575241.844472848,3277253.218523652,3277253.218523652,3277253.218523652,6293972.122583714,0.0 
