Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/15  19:00:00,13.075000000000001,23.835240180904183,13.863404731202243,8143378.657852018,5936377.747743254,5936377.747743254,5936377.747743254,197232.94183273846,1793550.678775869 
 02/15  20:00:00,11.35,23.356328655508907,11.558433566500854,8034231.2049290715,5860851.394397255,5860851.394397255,5860851.394397255,154285.71428571438,1799834.0011660322 
 02/15  21:00:00,10.108333333333333,22.761570766445924,10.171649133008836,7947345.222105575,5788324.826793473,5788324.826793473,5788324.826793473,154285.71428571438,1785474.5859463173 
 02/15  22:00:00,8.758333333333333,22.22853482963748,9.584595335093466,8874707.942441205,5275040.848512863,5275040.848512863,5275040.848512863,1622260.895184076,1765740.9463916547 
 02/15  23:00:00,8.008333333333333,22.222502136816757,9.634309586773291,10062348.720579574,4175767.1653783405,4175767.1653783405,4175767.1653783405,3953487.017593932,1731872.1940049431 
 02/15  24:00:00,6.516666666666667,22.222473720667747,8.951167604859636,9318685.281459594,3228431.3064444675,3228431.3064444675,3228431.3064444675,5896796.871252703,0.0 
 02/16  01:00:00,6.241666666666667,22.222418514428625,9.129388319252225,9772571.353895102,2498479.0097388276,2498479.0097388276,2498479.0097388276,7083848.443086239,0.0 
 02/16  02:00:00,6.700000000000002,22.222409314899792,9.45908525274564,12074242.205605479,2287908.203727021,2287908.203727021,2287908.203727021,7942872.506665607,1653217.5941428135 
 02/16  03:00:00,6.058333333333334,22.222364150130073,8.60315114488427,11650430.578426538,2218387.455766968,2218387.455766968,2218387.455766968,9241799.221589534,0.0 
 02/16  04:00:00,5.6000000000000005,22.222417277942267,7.670625749277228,12675294.930416191,2167160.80380385,2167160.80380385,2167160.80380385,10317890.225542303,0.0 
 02/16  05:00:00,4.8999999999999995,22.222704540346317,8.185265743553158,13336812.436243694,2326991.86639299,2326991.86639299,2326991.86639299,10815292.39852415,0.0 
 02/16  06:00:00,3.7583333333333333,22.22254745103092,7.085499138494701,16342247.69492639,2888368.680950925,2888368.680950925,2888368.680950925,11547990.113677204,1704398.7898048717 
 02/16  07:00:00,3.008333333333333,22.222430456484542,5.632557638767562,17649794.943932638,3455726.295687276,3455726.295687276,3455726.295687276,12383178.724205263,1795894.9781422988 
 02/16  08:00:00,2.4499999999999997,22.22244057785525,5.370501520361624,17763256.007146165,3804342.957438114,3804342.957438114,3804342.957438114,12110380.405058125,1835144.3000983163 
 02/16  09:00:00,4.825,22.222367096642945,7.789905414326339,14537817.20543379,3331560.1762823085,3331560.1762823085,3331560.1762823085,9356260.797387544,1844105.3601612311 
