Time,Unit,Value
11/24/2021 12:19,C,30.948
11/24/2021 12:24,C,30.886
11/24/2021 12:29,C,30.886
11/24/2021 12:34,C,30.823
11/24/2021 12:39,C,30.761
11/24/2021 12:44,C,30.761
11/24/2021 12:49,C,30.761
11/24/2021 12:54,C,30.698
11/24/2021 12:59,C,30.698
11/24/2021 13:04,C,30.698
11/24/2021 13:09,C,30.698
11/24/2021 13:14,C,30.698
11/24/2021 13:19,C,30.636
11/24/2021 13:24,C,30.698
11/24/2021 13:29,C,30.761
11/24/2021 13:34,C,30.823
11/24/2021 13:39,C,30.823
11/24/2021 13:44,C,30.948
11/24/2021 13:49,C,31.01
11/24/2021 13:54,C,31.01
11/24/2021 13:59,C,31.073
11/24/2021 14:04,C,31.135
11/24/2021 14:09,C,31.198
11/24/2021 14:14,C,31.198
11/24/2021 14:19,C,31.26
11/24/2021 14:24,C,31.26
11/24/2021 14:29,C,31.26
11/24/2021 14:34,C,31.198
11/24/2021 14:39,C,31.198
11/24/2021 14:44,C,31.198
11/24/2021 14:49,C,31.198
11/24/2021 14:54,C,31.135
11/24/2021 14:59,C,31.135
11/24/2021 15:04,C,31.073
11/24/2021 15:09,C,31.073
11/24/2021 15:14,C,31.01
11/24/2021 15:19,C,31.073
11/24/2021 15:24,C,31.073
11/24/2021 15:29,C,31.073
11/24/2021 15:34,C,31.073
11/24/2021 15:39,C,31.073
11/24/2021 15:44,C,31.073
11/24/2021 15:49,C,31.135
11/24/2021 15:54,C,31.135
11/24/2021 15:59,C,31.198
11/24/2021 16:04,C,31.26
11/24/2021 16:09,C,31.26
11/24/2021 16:14,C,31.198
11/24/2021 16:19,C,31.198
11/24/2021 16:24,C,31.26
11/24/2021 16:29,C,31.198
11/24/2021 16:34,C,31.135
11/24/2021 16:39,C,31.135
11/24/2021 16:44,C,31.135
11/24/2021 16:49,C,31.198
11/24/2021 16:54,C,31.135
11/24/2021 16:59,C,31.073
11/24/2021 17:04,C,31.073
11/24/2021 17:09,C,31.073
11/24/2021 17:14,C,30.698
11/24/2021 17:19,C,30.261
11/24/2021 17:24,C,29.887
11/24/2021 17:29,C,29.574
11/24/2021 17:34,C,29.2
11/24/2021 17:39,C,28.887
11/24/2021 17:44,C,28.7
11/24/2021 17:49,C,28.513
11/24/2021 17:54,C,28.325
11/24/2021 17:59,C,28.2
11/24/2021 18:04,C,28.075
11/24/2021 18:09,C,28.013
11/24/2021 18:14,C,27.888
11/24/2021 18:19,C,27.826
11/24/2021 18:24,C,27.826
11/24/2021 18:29,C,27.826
11/24/2021 18:34,C,27.826
11/24/2021 18:39,C,27.826
11/24/2021 18:44,C,27.888
11/24/2021 18:49,C,27.888
11/24/2021 18:54,C,27.95
11/24/2021 18:59,C,27.95
11/24/2021 19:04,C,27.95
11/24/2021 19:09,C,28.013
11/24/2021 19:14,C,28.013
11/24/2021 19:19,C,28.013
11/24/2021 19:24,C,28.013
11/24/2021 19:29,C,28.013
11/24/2021 19:34,C,28.013
11/24/2021 19:39,C,28.013
11/24/2021 19:44,C,28.013
11/24/2021 19:49,C,28.013
11/24/2021 19:54,C,28.013
11/24/2021 19:59,C,28.013
11/24/2021 20:04,C,28.013
11/24/2021 20:09,C,28.075
11/24/2021 20:14,C,28.075
11/24/2021 20:19,C,28.075
11/24/2021 20:24,C,28.013
11/24/2021 20:29,C,28.013
11/24/2021 20:34,C,28.013
11/24/2021 20:39,C,28.013
11/24/2021 20:44,C,28.013
11/24/2021 20:49,C,28.013
11/24/2021 20:54,C,28.013
11/24/2021 20:59,C,28.013
11/24/2021 21:04,C,28.013
11/24/2021 21:09,C,28.013
11/24/2021 21:14,C,28.013
11/24/2021 21:19,C,27.95
11/24/2021 21:24,C,27.95
11/24/2021 21:29,C,27.95
11/24/2021 21:34,C,27.95
11/24/2021 21:39,C,27.95
11/24/2021 21:44,C,27.95
11/24/2021 21:49,C,27.95
11/24/2021 21:54,C,27.888
11/24/2021 21:59,C,27.888
11/24/2021 22:04,C,27.888
11/24/2021 22:09,C,27.888
11/24/2021 22:14,C,27.95
11/24/2021 22:19,C,27.95
11/24/2021 22:24,C,27.888
11/24/2021 22:29,C,27.95
11/24/2021 22:34,C,27.888
11/24/2021 22:39,C,27.888
11/24/2021 22:44,C,27.95
11/24/2021 22:49,C,27.888
11/24/2021 22:54,C,27.888
11/24/2021 22:59,C,27.888
11/24/2021 23:04,C,27.888
11/24/2021 23:09,C,27.888
11/24/2021 23:14,C,27.888
11/24/2021 23:19,C,27.888
11/24/2021 23:24,C,27.888
11/24/2021 23:29,C,27.888
11/24/2021 23:34,C,27.888
11/24/2021 23:39,C,27.888
11/24/2021 23:44,C,27.888
11/24/2021 23:49,C,27.888
11/24/2021 23:54,C,27.888
11/24/2021 23:59,C,27.888
11/25/2021 0:04,C,27.888
11/25/2021 0:09,C,27.888
11/25/2021 0:14,C,27.888
11/25/2021 0:19,C,27.888
11/25/2021 0:24,C,27.888
11/25/2021 0:29,C,27.888
11/25/2021 0:34,C,27.888
11/25/2021 0:39,C,27.826
11/25/2021 0:44,C,27.826
11/25/2021 0:49,C,27.826
11/25/2021 0:54,C,27.826
11/25/2021 0:59,C,27.826
11/25/2021 1:04,C,27.826
11/25/2021 1:09,C,27.826
11/25/2021 1:14,C,27.826
11/25/2021 1:19,C,27.826
11/25/2021 1:24,C,27.826
11/25/2021 1:29,C,27.826
11/25/2021 1:34,C,27.826
11/25/2021 1:39,C,27.826
11/25/2021 1:44,C,27.826
11/25/2021 1:49,C,27.826
11/25/2021 1:54,C,27.826
11/25/2021 1:59,C,27.826
11/25/2021 2:04,C,27.826
11/25/2021 2:09,C,27.826
11/25/2021 2:14,C,27.826
11/25/2021 2:19,C,27.826
11/25/2021 2:24,C,27.826
11/25/2021 2:29,C,27.826
11/25/2021 2:34,C,27.826
11/25/2021 2:39,C,27.826
11/25/2021 2:44,C,27.826
11/25/2021 2:49,C,27.826
11/25/2021 2:54,C,27.826
11/25/2021 2:59,C,27.888
11/25/2021 3:04,C,27.888
11/25/2021 3:09,C,27.888
11/25/2021 3:14,C,27.826
11/25/2021 3:19,C,27.888
11/25/2021 3:24,C,27.826
11/25/2021 3:29,C,27.888
11/25/2021 3:34,C,27.888
11/25/2021 3:39,C,27.888
11/25/2021 3:44,C,27.888
11/25/2021 3:49,C,27.888
11/25/2021 3:54,C,27.888
11/25/2021 3:59,C,27.888
11/25/2021 4:04,C,27.888
11/25/2021 4:09,C,27.888
11/25/2021 4:14,C,27.888
11/25/2021 4:19,C,27.888
11/25/2021 4:24,C,27.888
11/25/2021 4:29,C,27.888
11/25/2021 4:34,C,27.888
11/25/2021 4:39,C,27.888
11/25/2021 4:44,C,27.888
11/25/2021 4:49,C,27.888
11/25/2021 4:54,C,27.888
11/25/2021 4:59,C,27.888
11/25/2021 5:04,C,27.888
11/25/2021 5:09,C,27.888
11/25/2021 5:14,C,27.888
11/25/2021 5:19,C,27.888
11/25/2021 5:24,C,27.888
11/25/2021 5:29,C,27.888
11/25/2021 5:34,C,27.888
11/25/2021 5:39,C,27.888
11/25/2021 5:44,C,27.888
11/25/2021 5:49,C,27.888
11/25/2021 5:54,C,27.95
11/25/2021 5:59,C,27.95
11/25/2021 6:04,C,27.95
11/25/2021 6:09,C,27.95
11/25/2021 6:14,C,27.95
11/25/2021 6:19,C,27.95
11/25/2021 6:24,C,27.888
11/25/2021 6:29,C,27.888
11/25/2021 6:34,C,27.95
11/25/2021 6:39,C,27.888
11/25/2021 6:44,C,27.888
11/25/2021 6:49,C,27.888
11/25/2021 6:54,C,27.95
11/25/2021 6:59,C,27.95
11/25/2021 7:04,C,27.95
11/25/2021 7:09,C,27.95
11/25/2021 7:14,C,27.95
11/25/2021 7:19,C,27.95
11/25/2021 7:24,C,27.95
11/25/2021 7:29,C,27.95
11/25/2021 7:34,C,27.95
11/25/2021 7:39,C,27.95
11/25/2021 7:44,C,27.95
11/25/2021 7:49,C,27.95
11/25/2021 7:54,C,27.95
11/25/2021 7:59,C,28.013
11/25/2021 8:04,C,28.013
11/25/2021 8:09,C,28.013
11/25/2021 8:14,C,28.013
11/25/2021 8:19,C,28.013
11/25/2021 8:24,C,28.013
11/25/2021 8:29,C,28.013
