Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/22  22:00:00,7405384.005567741,5275040.848512863,5275040.848512863,5275040.848512863,154285.71428571438,1764392.190416552 
 02/22  23:00:00,6262638.362172981,4175767.1653783405,4175767.1653783405,4175767.1653783405,154285.71428571438,1731363.1389065697 
 02/22  24:00:00,3576174.1244926057,3228431.3064444675,3228431.3064444675,3228431.3064444675,154285.71428571438,0.0 
 02/23  01:00:00,3141518.065517416,2498479.0097388276,2498479.0097388276,2498479.0097388276,154285.71428571438,298509.4404228361 
 02/23  02:00:00,3990168.148093502,2287908.203727021,2287908.203727021,2287908.203727021,154285.71428571438,1357730.3290107283 
 02/23  03:00:00,2562917.0711227204,2218387.455766968,2218387.455766968,2218387.455766968,154285.71428571438,0.0 
 02/23  04:00:00,2511690.419159602,2167160.80380385,2167160.80380385,2167160.80380385,154285.71428571438,0.0 
 02/23  05:00:00,2675805.7520052576,2326991.86639299,2326991.86639299,2326991.86639299,154285.71428571438,0.0 
 02/23  06:00:00,4950231.598423614,2888368.680950925,2888368.680950925,2888368.680950925,154285.71428571438,1706087.0926935847 
 02/23  07:00:00,5421925.94351195,3455726.295687276,3455726.295687276,3455726.295687276,154285.71428571438,1796918.9876411587 
 02/23  08:00:00,5807107.925963139,3804342.957438114,3804342.957438114,3804342.957438114,154285.71428571438,1835090.9096877023 
 02/23  09:00:00,5335297.102916693,3331560.1762823085,3331560.1762823085,3331560.1762823085,154285.71428571438,1843560.340745963 
 02/23  10:00:00,5132345.076983277,3145052.4172653225,3145052.4172653225,3145052.4172653225,154285.71428571438,1828990.4420667575 
 02/23  11:00:00,6162470.45346244,3201316.809840188,3201316.809840188,3201316.809840188,154285.71428571438,2802851.4259710545 
 02/23  12:00:00,4254083.977975097,3245056.7517732778,3245056.7517732778,3245056.7517732778,214856.13414257683,790154.5886937601 
 02/23  13:00:00,5961893.469139391,3197289.398662933,3197289.398662933,3197289.398662933,1004157.035573339,1756430.531537636 
 02/23  14:00:00,6696696.198796265,3143544.016284607,3143544.016284607,3143544.016284607,1805878.6375650794,1743257.0415810966 
