Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 08/21  14:00:00,11927479.299227415,3277253.218523652,3277253.218523652,3277253.218523652,6943147.704788244,1703061.8725500351 
 08/21  15:00:00,10251147.824928574,3272159.2094632606,3272159.2094632606,3272159.2094632606,6974972.112099832,0.0 
 08/21  16:00:00,12213749.766780496,3549357.552769049,3549357.552769049,3549357.552769049,6965239.768065676,1692190.506778936 
 08/21  17:00:00,11416242.694856819,4479188.816479392,4479188.816479392,4479188.816479392,6922058.932479625,0.0 
 08/21  18:00:00,14215345.395876221,5624286.233621349,5624286.233621349,5624286.233621349,6857988.104925792,1712185.2398285728 
 08/21  19:00:00,13596990.016761925,6045788.3062472865,6045788.3062472865,6045788.3062472865,6755731.18550914,579253.2355053414 
 08/21  20:00:00,13980363.634808702,5971945.160957614,5971945.160957614,5971945.160957614,6638938.643368987,1150219.7354020313 
 08/21  21:00:00,14030815.84796501,5899533.255808762,5899533.255808762,5899533.255808762,6188688.993064861,1723333.5040113158 
 08/21  22:00:00,10744878.681482632,5386254.039457358,5386254.039457358,5386254.039457358,5146959.389672661,0.0 
 08/21  23:00:00,10479557.06351472,4262786.538241955,4262786.538241955,4262786.538241955,4323423.756682244,1692124.424988162 
 08/21  24:00:00,7123783.3899125885,3276627.552965166,3276627.552965166,3276627.552965166,3653698.733184999,0.0 
 02/01  01:00:00,16663587.002978306,2498479.0097388276,2498479.0097388276,2498479.0097388276,13974864.09216944,0.0 
 02/01  02:00:00,15541572.344027778,2287908.203727021,2287908.203727021,2287908.203727021,13063420.239230718,0.0 
 02/01  03:00:00,16115073.239825923,2218387.455766968,2218387.455766968,2218387.455766968,13706441.882988917,0.0 
 02/01  04:00:00,17284658.905635025,2167160.80380385,2167160.80380385,2167160.80380385,14927254.200761136,0.0 
 02/01  05:00:00,19490911.5376376,2326991.86639299,2326991.86639299,2326991.86639299,16969391.49991806,0.0 
 02/01  06:00:00,22281047.10395569,2888368.680950925,2888368.680950925,2888368.680950925,17486064.902893372,1705123.4096180024 
 02/01  07:00:00,22141313.383149557,3455726.295687276,3455726.295687276,3455726.295687276,16873772.433322307,1796819.7082421733 
 02/01  08:00:00,21504556.823482677,3804342.957438114,3804342.957438114,3804342.957438114,15849760.143716246,1837065.377776709 
 02/01  09:00:00,19930035.3342331,3331560.1762823085,3331560.1762823085,3331560.1762823085,13959075.773939686,2633508.5124084014 
 02/01  10:00:00,18130747.852494027,3145052.4172653225,3145052.4172653225,3145052.4172653225,12100746.397093993,2880932.534769233 
 02/01  11:00:00,16023296.728358459,3201316.809840188,3201316.809840188,3201316.809840188,11012568.986366669,1805394.428786119 
 02/01  12:00:00,15221776.284546662,3245056.7517732778,3245056.7517732778,3245056.7517732778,10193712.09359838,1778990.935809521 
 02/01  13:00:00,13169607.844164465,3197289.398662933,3197289.398662933,3197289.398662933,8543658.21834131,1424643.7237947388 
 02/01  14:00:00,9966883.474992674,3143544.016284607,3143544.016284607,3143544.016284607,6487624.5328793,331698.4224632848 
 02/01  15:00:00,11046267.834189145,3152610.4832543777,3152610.4832543777,3152610.4832543777,6154788.358397137,1734852.4891721478 
 02/01  16:00:00,10788889.914359044,3436226.8211706067,3436226.8211706067,3436226.8211706067,5615786.263838837,1729914.890182765 
 02/01  17:00:00,10836929.028325424,4368891.063756271,4368891.063756271,4368891.063756271,6453043.018671351,0.0 
 02/01  18:00:00,14998623.995798297,5514884.4344747625,5514884.4344747625,5514884.4344747625,7693982.011977249,1768871.731845778 
 02/01  19:00:00,16129077.001326077,5936377.747743254,5936377.747743254,5936377.747743254,8180767.154354215,1795714.809728447 
 02/01  20:00:00,16636469.132526822,5860851.394397255,5860851.394397255,5860851.394397255,8754746.797322745,1801610.8457267531 
 02/01  21:00:00,17720242.075602308,5788324.826793473,5788324.826793473,5788324.826793473,9925684.766593058,1786972.3871357082 
 02/01  22:00:00,18290045.60419876,5275040.848512863,5275040.848512863,5275040.848512863,11036732.218865152,1766607.2844681367 
 02/01  23:00:00,18540420.135884445,4175767.1653783405,4175767.1653783405,4175767.1653783405,12430550.749546824,1732879.8773569241 
 02/01  24:00:00,17826642.638471674,3228431.3064444675,3228431.3064444675,3228431.3064444675,14404754.228264784,0.0 
 02/02  01:00:00,21393276.77107077,2498479.0097388276,2498479.0097388276,2498479.0097388276,17037875.680800676,1666678.1794612291 
 02/02  02:00:00,21671503.9287595,2287908.203727021,2287908.203727021,2287908.203727021,19193351.823962443,0.0 
 02/02  03:00:00,23262128.38638173,2218387.455766968,2218387.455766968,2218387.455766968,20853497.02954473,0.0 
 02/02  04:00:00,23734481.992461376,2167160.80380385,2167160.80380385,2167160.80380385,21377077.287587486,0.0 
 02/02  05:00:00,25030324.360901177,2326991.86639299,2326991.86639299,2326991.86639299,22508804.323181637,0.0 
 02/02  06:00:00,27642261.464267623,2888368.680950925,2888368.680950925,2888368.680950925,22847268.49940122,1705134.173422086 
 02/02  07:00:00,26869721.715102013,3455726.295687276,3455726.295687276,3455726.295687276,21601750.81493632,1797249.6585806159 
 02/02  08:00:00,27581030.283893026,3804342.957438114,3804342.957438114,3804342.957438114,21926591.324685916,1836707.6572173869 
 02/02  09:00:00,25109544.854322124,3331560.1762823085,3331560.1762823085,3331560.1762823085,19926129.91166445,1845963.8947726628 
 02/02  10:00:00,24143488.795698747,3145052.4172653225,3145052.4172653225,3145052.4172653225,17331185.95526585,3663233.919802094 
 02/02  11:00:00,20883516.574856233,3201316.809840188,3201316.809840188,3201316.809840188,15873068.577175265,1805114.684475298 
 02/02  12:00:00,19643767.429040417,3245056.7517732778,3245056.7517732778,3245056.7517732778,14615535.211530522,1779158.9623711356 
 02/02  13:00:00,14876683.065541262,3197289.398662933,3197289.398662933,3197289.398662933,11675377.163512846,0.0 
 02/02  14:00:00,13609445.63122504,3143544.016284607,3143544.016284607,3143544.016284607,8716040.626420245,1745844.4851547068 
 02/02  15:00:00,10691398.624568578,3152610.4832543777,3152610.4832543777,3152610.4832543777,5799934.6081842845,1734837.029764431 
 02/02  16:00:00,9256797.15378685,3436226.8211706067,3436226.8211706067,3436226.8211706067,4083986.0269129043,1729622.3665365023 
 02/02  17:00:00,7785047.534692591,4368891.063756271,4368891.063756271,4368891.063756271,3401161.5250385194,0.0 
 02/02  18:00:00,11467194.385267679,5514884.4344747625,5514884.4344747625,5514884.4344747625,4162777.127283409,1768647.0060089976 
 02/02  19:00:00,13990617.525346655,5936377.747743254,5936377.747743254,5936377.747743254,6042584.426124518,1795438.0619787239 
 02/02  20:00:00,14620218.6926327,5860851.394397255,5860851.394397255,5860851.394397255,6738200.4650301775,1801906.738125197 
 02/02  21:00:00,15907318.519241821,5788324.826793473,5788324.826793473,5788324.826793473,8112485.546816988,1787248.0505512916 
 02/02  22:00:00,18342028.954527624,5275040.848512863,5275040.848512863,5275040.848512863,11088606.259768145,1766716.5938940067 
 02/02  23:00:00,20829504.27651369,4175767.1653783405,4175767.1653783405,4175767.1653783405,14719796.46603268,1732718.3015003125 
 02/02  24:00:00,20230493.284308035,3228431.3064444675,3228431.3064444675,3228431.3064444675,16808604.874101143,0.0 
 02/03  01:00:00,22589646.207049027,2498479.0097388276,2498479.0097388276,2498479.0097388276,18234236.497490328,1666686.7987498313 
 02/03  02:00:00,21893040.07910076,2287908.203727021,2287908.203727021,2287908.203727021,19414887.974303704,0.0 
 02/03  03:00:00,22484726.236993592,2218387.455766968,2218387.455766968,2218387.455766968,20076094.880156588,0.0 
 02/03  04:00:00,22567181.12985908,2167160.80380385,2167160.80380385,2167160.80380385,20209776.42498519,0.0 
 02/03  05:00:00,22385361.27665803,2326991.86639299,2326991.86639299,2326991.86639299,19863841.238938488,0.0 
 02/03  06:00:00,24848006.468999572,2888368.680950925,2888368.680950925,2888368.680950925,20053260.818356887,1704886.8591983707 
 02/03  07:00:00,25614382.40709128,3455726.295687276,3455726.295687276,3455726.295687276,20346576.900748484,1797084.2647577182 
 02/03  08:00:00,25356699.71123587,3804342.957438114,3804342.957438114,3804342.957438114,19701832.908745795,1837135.500500348 
 02/03  09:00:00,21961109.85331557,3331560.1762823085,3331560.1762823085,3331560.1762823085,16777955.40393834,1845703.401492212 
 02/03  10:00:00,18887711.418939,3145052.4172653225,3145052.4172653225,3145052.4172653225,12999079.182791956,2739563.31551624 
 02/03  11:00:00,15957861.347327646,3201316.809840188,3201316.809840188,3201316.809840188,10037654.998169908,2714873.035952068 
 02/03  12:00:00,11600968.650555737,3245056.7517732778,3245056.7517732778,3245056.7517732778,7343600.629569332,1008294.7658476436 
