Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/18  06:00:00,9.358333333333334,22.22331520586968,11.288583954238229,10627574.44997576,2888368.680950925,2888368.680950925,2888368.680950925,7537715.658531446,0.0 
 02/18  07:00:00,8.9,22.223365442121263,10.970356048158607,12922145.04371825,3455726.295687276,3455726.295687276,3455726.295687276,7656155.965487646,1795267.8366455273 
 02/18  08:00:00,10.533333333333333,22.222942413262373,12.310523011944047,12190192.683839992,3804342.957438114,3804342.957438114,3804342.957438114,6537728.615551243,1834732.7662990242 
 02/18  09:00:00,12.633333333333333,22.222652626785152,15.133068815694713,12518557.890823906,3331560.1762823085,3331560.1762823085,3331560.1762823085,5493795.185423166,3687311.657515726 
 02/18  10:00:00,14.641666666666666,22.222731845473458,17.16733485081257,9278558.80438703,3145052.4172653225,3145052.4172653225,3145052.4172653225,4299849.74016946,1829640.1435867655 
 02/18  11:00:00,16.883333333333333,22.22245488156291,19.274770886632762,7194970.069575125,3201316.809840188,3201316.809840188,3201316.809840188,2185965.148325116,1803671.6080443384 
 02/18  12:00:00,18.733333333333334,22.26760942552683,20.639601088854878,5312789.74106588,3245056.7517732778,3245056.7517732778,3245056.7517732778,286250.3287452011,1777466.157181919 
 02/18  13:00:00,19.75,22.558871969785475,21.20856878394376,5113142.437190667,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1757550.8208765376 
 02/18  14:00:00,20.350000000000005,23.08352280204652,22.45491223922988,3301846.2339358036,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,0.0 
 02/18  15:00:00,20.599999999999998,23.789935858983753,24.245686492522598,5234860.991074944,3152610.4832543777,3152610.4832543777,3152610.4832543777,344630.6074788242,1733603.3969762605 
 02/18  16:00:00,20.891666666666666,23.889583617255443,25.72759637337492,6370634.378247917,3436226.8211706067,3436226.8211706067,3436226.8211706067,1199379.6644559484,1728065.9534545252 
