Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/16  16:00:00,-8.200000000000001,8.322682701173958,-5.6624185108524,0.0,0.0,0.0,0.0,0.0,0.0 
 02/16  17:00:00,-7.908333333333334,8.189713165198667,-6.972093133129126,0.0,0.0,0.0,0.0,0.0,0.0 
 02/16  18:00:00,-7.991666666666667,7.958084838062843,-7.610882024216249,0.0,0.0,0.0,0.0,0.0,0.0 
 02/16  19:00:00,-8.200000000000001,7.721944290374547,-7.996221847477563,0.0,0.0,0.0,0.0,0.0,0.0 
 02/16  20:00:00,-8.200000000000001,7.364847046268431,-8.049162837405689,0.0,0.0,0.0,0.0,0.0,0.0 
 02/16  21:00:00,-7.908333333333334,7.104267071929009,-7.8068756278755975,0.0,0.0,0.0,0.0,0.0,0.0 
 02/16  22:00:00,-7.7,6.842745190635051,-7.574649410119179,0.0,0.0,0.0,0.0,0.0,0.0 
 02/16  23:00:00,-7.7,7.107232602427859,-7.638023158096925,0.0,0.0,0.0,0.0,0.0,0.0 
 02/16  24:00:00,-7.7,7.098392461714046,-7.720320779801871,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  01:00:00,-7.3500000000000005,7.028552791206849,-7.444299370494821,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  02:00:00,-7.1000000000000005,7.045170703436752,-7.238337264870212,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  03:00:00,-7.1000000000000005,7.032114141508167,-7.251565076705756,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  04:00:00,-6.808333333333333,6.957308821620164,-6.923397762346124,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  05:00:00,-6.6000000000000005,6.886141329572516,-6.629723037713714,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  06:00:00,-6.6000000000000005,6.87004106183917,-6.598474530687953,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  07:00:00,-6.6000000000000005,6.910355539968845,-6.61445089262704,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  08:00:00,-6.308333333333333,7.102229526679356,-6.29334013753853,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  09:00:00,-5.808333333333333,7.286866287746076,-4.9626061810942375,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  10:00:00,-5.6000000000000005,7.273608356027907,-4.492210710026195,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  11:00:00,-5.25,7.283983339792811,-4.233615625941864,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  12:00:00,-4.591666666666668,7.540217353415422,-3.5831874481306865,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  13:00:00,-4.008333333333334,7.843205572053331,-2.7871450948736864,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  14:00:00,-3.4499999999999997,8.414520260549928,-1.7847718534487154,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  15:00:00,-2.9083333333333337,8.792252039752997,-1.331461751527849,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  16:00:00,-2.6999999999999997,9.131910942375944,-1.1767445059806885,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  17:00:00,-2.6999999999999997,9.084389499745342,-1.9092557940508337,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  18:00:00,-2.991666666666667,8.850676810937358,-2.650187605028659,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  19:00:00,-3.1999999999999997,8.89335713365219,-2.9923501663654104,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  20:00:00,-3.1999999999999997,8.93849187332422,-3.0339052237810176,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  21:00:00,-3.1999999999999997,9.009665290571107,-3.07527298043842,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  22:00:00,-3.1999999999999997,9.017417863907447,-3.0990800810557952,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  23:00:00,-3.1999999999999997,8.830264292775949,-3.077084538115386,0.0,0.0,0.0,0.0,0.0,0.0 
 02/17  24:00:00,-3.1999999999999997,8.593076710874705,-3.061840412268271,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  01:00:00,-3.5500000000000003,8.393235081245386,-3.3588326920515335,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  02:00:00,-3.8000000000000003,8.195423687792294,-3.619260183825421,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  03:00:00,-3.8000000000000003,8.236548657113302,-3.65958727565822,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  04:00:00,-3.8000000000000003,8.288504697170334,-3.6895682205810605,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  05:00:00,-3.8000000000000003,8.184910873270477,-3.6911124827233888,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  06:00:00,-3.8000000000000003,8.164779009837703,-3.6938214780652228,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  07:00:00,-4.091666666666667,7.918268067057897,-3.915769836753189,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  08:00:00,-4.3,7.917123138972805,-4.073116930068059,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  09:00:00,-4.3,7.872484617489495,-3.880057893501027,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  10:00:00,-4.708333333333333,7.9392187570852615,-3.9452486560079123,0.0,0.0,0.0,0.0,0.0,0.0 
 02/18  11:00:00,-4.591666666666668,8.554106924629972,-3.351878761531573,0.0,0.0,0.0,0.0,0.0,0.0 
