Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/02  05:00:00,13792516.47577197,2326991.86639299,2326991.86639299,2326991.86639299,11270996.438052425,0.0 
 02/02  06:00:00,16512178.36422922,2888368.680950925,2888368.680950925,2888368.680950925,11717447.849775493,1704871.7230094096 
 02/02  07:00:00,16714902.149935111,3455726.295687276,3455726.295687276,3455726.295687276,11446943.01679915,1797237.8915508841 
 02/02  08:00:00,13099469.70860106,3804342.957438114,3804342.957438114,3804342.957438114,7445059.386511904,1836679.0200994331 
 02/02  09:00:00,9153567.461482659,3331560.1762823085,3331560.1762823085,3331560.1762823085,3970426.471129012,1845689.9424686325 
 02/02  10:00:00,8971300.28598407,3145052.4172653225,3145052.4172653225,3145052.4172653225,2159409.4683904108,3662821.896962854 
 02/02  11:00:00,5289551.618122676,3201316.809840188,3201316.809840188,3201316.809840188,278938.42754935817,1805279.8773676488 
 02/02  12:00:00,5182315.125103159,3245056.7517732778,3245056.7517732778,3245056.7517732778,154285.71428571438,1778956.1556786844 
 02/02  13:00:00,3355591.616314129,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,0.0 
 02/02  14:00:00,5047562.565445194,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,1745716.331509391 
 02/02  15:00:00,5103213.540362098,3152610.4832543777,3152610.4832543777,3152610.4832543777,212394.08193190827,1734192.4718103297 
 02/02  16:00:00,5373788.563314354,3436226.8211706067,3436226.8211706067,3436226.8211706067,201412.16338310693,1729187.639593804 
 02/02  17:00:00,4538171.723939787,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,0.0 
 02/02  18:00:00,7458047.137635987,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1767991.1713750015 
 02/02  19:00:00,8101858.633513812,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1794977.881984686 
 02/02  20:00:00,8035834.802271864,5860851.394397255,5860851.394397255,5860851.394397255,154285.71428571438,1801437.598508825 
 02/02  21:00:00,8526464.087351622,5788324.826793473,5788324.826793473,5788324.826793473,731698.8081779178,1787180.357300161 
 02/02  22:00:00,10108351.066468667,5275040.848512863,5275040.848512863,5275040.848512863,2855008.875319383,1766636.09028381 
 02/02  23:00:00,10362627.105727654,4175767.1653783405,4175767.1653783405,4175767.1653783405,4252783.860743489,1732853.7360034666 
 02/02  24:00:00,9521060.803016389,3228431.3064444675,3228431.3064444675,3228431.3064444675,6099172.392809497,0.0 
 02/03  01:00:00,12332397.029267836,2498479.0097388276,2498479.0097388276,2498479.0097388276,7976975.677050836,1666698.4414081338 
 02/03  02:00:00,11729191.500363467,2287908.203727021,2287908.203727021,2287908.203727021,9251039.39556641,0.0 
 02/03  03:00:00,12648664.91607325,2218387.455766968,2218387.455766968,2218387.455766968,10240033.559236243,0.0 
 02/03  04:00:00,13572608.702001993,2167160.80380385,2167160.80380385,2167160.80380385,11215203.997128105,0.0 
 02/03  05:00:00,14331276.283443771,2326991.86639299,2326991.86639299,2326991.86639299,11809756.245724227,0.0 
 02/03  06:00:00,17132369.842655733,2888368.680950925,2888368.680950925,2888368.680950925,12337304.984045172,1705206.0671662483 
 02/03  07:00:00,17670256.740680803,3455726.295687276,3455726.295687276,3455726.295687276,12402206.375117827,1797329.1239778982 
 02/03  08:00:00,15538181.987911798,3804342.957438114,3804342.957438114,3804342.957438114,9883601.46333732,1836849.2225847542 
 02/03  09:00:00,10078318.888068462,3331560.1762823085,3331560.1762823085,3331560.1762823085,4895109.580824586,1845758.2593588592 
 02/03  10:00:00,7953802.932337814,3145052.4172653225,3145052.4172653225,3145052.4172653225,2604719.029739721,2200014.981967288 
 02/03  11:00:00,6644510.973743681,3201316.809840188,3201316.809840188,3201316.809840188,299545.46141442365,3139632.199123587 
